seed	result	game_min	js_errors	failed_ai	harness
322	win	24.4	0	0	1
323	win	26.6	0	0	1
324	win	24.7	0	0	1
325	win	23.3	0	0	1
326	win	26.9	0	0	1
327	win	29.0	0	0	1
328	win	23.3	0	0	1
329	win	29.0	0	0	1
330	win	26.7	0	0	1
331	win	26.1	0	0	1
332	win	23.0	0	0	1
333	win	23.1	0	0	1
334	win	33.0	0	0	1
335	win	28.2	0	0	1
336	win	28.0	0	0	1
337	win	28.8	0	0	1
338	win	27.4	0	0	1
339	win	25.4	0	0	1
340	timeout	45.0	0	0	1
341	win	23.0	0	0	1
342	win	23.5	0	0	1
343	win	28.0	0	0	1
344	win	24.3	0	0	1
345	win	28.2	0	0	1
346	win	21.4	0	0	1
347	win	29.9	0	0	1
348	win	34.1	0	0	1
349	win	23.6	0	0	1
350	win	23.7	0	0	1
351	win	21.6	0	0	1
352	timeout	45.0	0	0	1
353	win	33.9	0	0	1
354	win	21.8	0	0	1
355	win	25.2	0	0	1
356	loss	36.4	0	0	1
357	win	29.8	0	0	1
358	win	28.8	0	0	1
359	win	26.4	0	0	1
360	win	38.1	0	0	1
361	win	35.1	0	0	1
362	win	23.9	0	0	1
363	win	34.4	0	0	1
364	win	28.0	0	0	1
365	win	28.1	0	0	1
366	win	31.4	0	0	1
367	win	28.6	0	0	1
368	win	29.1	0	0	1
369	win	34.4	0	0	1
370	win	28.0	0	0	1
371	win	33.6	0	0	1
372	timeout	45.0	0	0	1
373	loss	43.1	0	0	1
374	win	43.1	0	0	1
375	win	22.4	0	0	1
376	win	30.9	0	0	1
377	win	28.7	0	0	1
378	win	23.0	0	0	1
379	win	28.8	0	0	1
380	win	26.3	0	0	1
381	win	27.5	0	0	1
382	win	31.8	0	0	1
383	win	23.0	0	0	1
384	win	31.3	0	0	1
385	win	26.5	0	0	1
386	win	26.2	0	0	1
387	timeout	45.0	0	0	1
388	win	28.5	0	0	1
389	win	33.0	0	0	1
390	win	23.3	0	0	1
391	win	25.0	0	0	1
392	win	25.7	0	0	1
393	win	24.0	0	0	1
394	win	25.7	0	0	1
395	win	23.8	0	0	1
396	win	28.0	0	0	1
397	win	26.0	0	0	1
398	win	35.2	0	0	1
399	win	24.8	0	0	1
400	win	39.7	0	0	1
