seed	verdict	end_min	js_errors	failed_ai	harness	pop_limit	will	wonderord	poptech	fortress	assembly	carnyx	focus	razed	level	warbuy	corral	tier3	stable	cavbatch	cavtech	hero	champ	cav
180	win	25.5	0	0	1	300	0	0	0	1	1	1	0	1	0	5	0	0	1	5	0	1	0	16
181	win	26.7	0	0	1	300	0	0	0	1	1	3	0	1	0	2	0	1	1	7	0	1	2	26
182	win	35.2	0	0	1	300	0	0	0	1	1	2	0	1	0	6	0	1	1	9	2	1	7	36
183	win	25.4	0	0	1	300	0	0	0	1	1	2	0	0	0	5	0	2	1	4	1	1	2	11
184	win	26.6	0	0	1	300	0	0	0	1	1	4	0	4	0	10	0	2	1	8	1	2	4	31
185	win	26.1	0	0	1	300	0	0	0	1	1	2	0	1	0	9	0	1	1	6	1	1	2	21
186	win	25.2	0	0	1	300	0	0	0	1	1	2	0	1	0	5	0	0	1	6	2	1	2	26
187	win	28.0	0	0	1	300	0	0	0	1	2	0	0	0	0	7	0	2	1	8	2	0	0	30
188	win	25.7	0	0	1	300	0	0	0	1	1	2	0	0	0	6	0	0	1	4	1	1	20	11
189	win	27.4	0	0	1	300	0	0	0	1	1	0	0	0	0	9	0	4	1	6	2	0	15	25
190	win	34.6	0	0	1	300	0	0	0	1	1	2	0	3	3	5	0	0	1	8	1	1	2	31
191	win	29.3	0	0	1	300	0	0	0	1	1	0	0	3	0	2	0	0	1	5	1	0	0	15
192	timeout	45.0	0	0	1	300	0	0	0	0	2	0	0	0	0	0	0	2	1	18	2	1	0	91
193	win	28.0	0	0	1	300	0	0	0	1	1	2	0	4	0	9	0	1	1	3	1	1	17	6
194	win	33.0	0	0	1	300	0	0	0	1	1	2	0	2	0	6	0	2	1	8	2	1	2	31
195	win	25.2	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	0	1	5	1	0	0	20
196	win	27.4	0	0	1	300	0	0	0	1	1	4	0	3	0	9	0	3	1	7	2	1	9	31
197	win	27.3	0	0	1	300	0	0	0	1	1	2	0	4	0	8	0	1	1	7	2	1	2	26
198	win	23.7	0	0	1	300	0	0	0	1	1	2	0	0	0	5	0	0	1	3	1	1	7	6
199	win	30.3	0	0	1	300	0	0	0	1	1	2	0	1	0	5	0	1	1	7	1	2	6	26
200	win	27.1	0	0	1	300	0	0	0	1	1	2	0	1	0	6	0	1	1	7	0	1	2	31
