seed	result	game_min	wood10	wood_total	js_errors	failed_ai	harness
275	win	31.3	5322	39924	0	0	1
276	win	25.5	5636	32094	0	0	1
277	win	26.8	5459	28671	0	0	1
278	win	31.2	6059	38015	0	0	1
279	win	33.0	5329	36824	0	0	1
280	win	20.9	6250	33078	0	0	1
281	win	23.6	5391	32571	0	0	1
282	win	28.8	6131	36004	0	0	1
283	win	30.3	5813	35143	0	0	1
284	win	29.1	6009	40706	0	0	1
285	win	36.1	5222	47833	0	0	1
286	win	30.3	5493	38313	0	0	1
287	win	28.0	5345	39529	0	0	1
288	win	23.7	5380	33988	0	0	1
289	win	23.2	5447	29065	0	0	1
290	win	27.4	5088	31504	0	0	1
291	win	30.8	5381	37344	0	0	1
292	win	27.0	5075	38595	0	0	1
293	win	23.7	5895	32097	0	0	1
294	win	25.5	6076	31736	0	0	1
295	win	24.2	4476	30759	0	0	1
296	win	25.1	5948	33335	0	0	1
297	win	25.1	6166	34572	0	0	1
298	win	24.4	5965	31570	0	0	1
299	win	23.9	5931	35554	0	0	1
300	win	29.6	5418	32796	0	0	1
301	win	28.0	5439	44434	0	0	1
302	win	25.3	6233	34415	0	0	1
303	win	26.5	5520	36606	0	0	1
304	win	23.3	5754	31513	0	0	1
305	win	33.0	5499	35404	0	0	1
306	win	33.0	4879	36629	0	0	1
307	win	24.6	5383	30763	0	0	1
308	win	25.4	4631	31647	0	0	1
309	win	30.4	6277	43375	0	0	1
310	win	33.9	5802	35496	0	0	1
311	win	33.0	5979	46162	0	0	1
312	win	28.4	6402	34066	0	0	1
313	win	28.4	5830	47184	0	0	1
314	win	30.2	5343	38181	0	0	1
315	win	25.3	5677	35404	0	0	1
316	win	29.3	5664	36750	0	0	1
317	timeout	45.0	5242	59606	0	0	1
318	win	27.0	6063	35381	0	0	1
319	win	28.0	5249	36227	0	0	1
320	win	29.6	4849	38072	0	0	1
321	win	40.3	5262	43466	0	0	1
322	win	23.6	5445	33893	0	0	1
323	win	32.0	5452	44787	0	0	1
324	win	23.2	5717	30156	0	0	1
325	win	39.2	4638	43535	0	0	1
326	win	25.8	5906	28508	0	0	1
327	win	23.5	5721	28595	0	0	1
328	win	24.0	6004	34164	0	0	1
329	win	23.1	6105	33018	0	0	1
330	win	29.2	5892	54938	0	0	1
331	win	27.1	5483	31992	0	0	1
332	win	30.3	4763	47903	0	0	1
333	win	38.0	4518	59906	0	0	1
334	timeout	45.0	4827	55629	0	0	1
335	timeout	45.0	5813	40510	0	0	1
336	timeout	45.0	5022	64341	0	0	1
337	win	29.5	5312	33865	0	0	1
338	win	33.0	4877	39290	0	0	1
339	win	26.0	6101	32525	0	0	1
340	win	31.0	5368	36526	0	0	1
341	win	24.4	6200	32394	0	0	1
342	win	43.9	6651	96477	0	0	1
343	win	25.4	5960	35814	0	0	1
344	win	21.4	6582	34754	0	0	1
345	win	28.7	6660	40954	0	0	1
346	win	30.4	5955	57480	0	0	1
347	win	27.3	5525	31377	0	0	1
348	win	33.2	5308	49222	0	0	1
349	win	25.8	6228	32840	0	0	1
350	win	28.8	5844	31588	0	0	1
351	win	22.2	5929	36459	0	0	1
352	win	26.9	6313	36011	0	0	1
353	win	26.3	5529	30472	0	0	1
354	win	25.5	5439	38101	0	0	1
355	win	27.2	5770	40591	0	0	1
356	win	34.0	5505	50463	0	0	1
357	win	30.0	5780	34710	0	0	1
358	win	30.2	6073	33782	0	0	1
359	win	25.2	5227	32401	0	0	1
360	win	27.1	4851	29404	0	0	1
361	win	31.2	6234	40552	0	0	1
362	win	28.6	5369	32179	0	0	1
363	win	29.6	4806	35386	0	0	1
364	win	28.5	6389	30233	0	0	1
365	win	36.6	5523	44237	0	0	1
366	win	23.4	5566	33329	0	0	1
367	win	43.0	5457	49737	0	0	1
368	win	29.1	5277	31282	0	0	1
369	win	34.6	5695	53714	0	0	1
370	win	35.4	5582	43191	0	0	1
371	win	26.8	5530	29860	0	0	1
372	win	28.0	5471	37967	0	0	1
373	win	26.8	5821	34831	0	0	1
374	win	32.4	5041	38686	0	0	1
375	win	23.6	6487	35462	0	0	1
376	win	31.5	5345	36269	0	0	1
377	win	23.0	6068	32406	0	0	1
378	win	29.6	5636	35310	0	0	1
379	win	30.5	5881	39973	0	0	1
380	win	24.4	5849	38354	0	0	1
381	win	24.5	5531	29668	0	0	1
382	win	28.0	5376	36531	0	0	1
383	win	23.0	5161	32570	0	0	1
384	win	24.7	5255	32475	0	0	1
385	win	33.3	6530	41264	0	0	1
386	win	23.0	6820	34468	0	0	1
387	win	34.0	4670	43841	0	0	1
388	win	26.5	6531	33928	0	0	1
389	win	29.6	5614	33876	0	0	1
390	win	23.0	5115	30481	0	0	1
391	win	27.0	6468	36266	0	0	1
392	win	23.2	6081	30768	0	0	1
393	win	23.7	5279	35307	0	0	1
394	win	35.8	5192	44548	0	0	1
395	win	25.9	5447	25253	0	0	1
396	win	26.4	5816	37301	0	0	1
397	win	29.8	5354	33710	0	0	1
398	win	44.8	4548	47301	0	0	1
399	win	22.4	6177	29175	0	0	1
400	win	28.0	4555	28108	0	0	1
