seed	verdict	end_min	js_errors	clr_launches	clr_held
96	timeout	45.0	0	0	0
97	won	29.0	0	0	0
98	won	39.4	0	0	0
99	won	31.8	0	0	0
100	won	28.0	0	1	0
101	won	22.5	0	0	0
102	won	25.6	0	0	0
103	won	31.7	0	0	0
104	timeout	45.0	0	0	0
105	won	36.9	0	0	0
106	won	37.7	0	0	0
107	won	29.9	0	0	0
108	won	40.6	0	0	0
109	won	38.4	0	1	0
110	won	36.9	0	1	0
111	timeout	45.0	0	0	0
112	won	28.8	0	0	0
113	won	35.5	0	0	0
114	won	36.5	0	0	0
115	won	32.9	0	0	0
116	won	32.4	0	1	0
117	won	33.9	0	0	0
118	won	26.8	0	0	0
119	won	32.3	0	0	0
120	won	33.9	0	0	0
121	timeout	45.0	0	0	0
122	won	24.8	0	0	0
123	won	32.9	0	0	0
124	won	27.3	0	0	0
125	timeout	45.0	0	0	0
126	won	29.6	0	0	0
127	won	30.9	0	0	0
128	won	38.1	0	0	0
129	won	29.9	0	0	0
130	won	27.2	0	1	0
131	won	26.2	0	0	0
132	won	31.0	0	0	0
133	won	35.3	0	0	0
134	timeout	45.0	0	1	0
135	won	29.7	0	0	0
136	timeout	45.0	0	0	0
137	won	26.9	0	0	0
138	defeated	28.0	0	0	0
139	timeout	45.0	0	0	0
140	won	38.5	0	0	0
141	defeated	43.0	0	0	0
142	timeout	45.0	0	1	0
143	won	28.3	0	0	0
144	won	41.3	0	1	0
145	won	32.2	0	0	0
146	won	39.0	0	0	0
147	won	26.0	0	0	0
148	timeout	45.0	0	0	0
149	won	29.6	0	0	0
150	won	33.1	0	0	0
151	timeout	45.0	0	0	0
152	timeout	45.0	0	0	0
153	won	36.8	0	0	0
154	won	37.0	0	0	0
155	timeout	45.0	0	0	0
156	won	29.4	0	0	0
157	won	24.1	0	0	0
158	timeout	45.0	0	3	0
159	won	36.2	0	0	0
160	won	27.4	0	0	0
161	won	39.1	0	0	0
162	won	43.6	0	0	0
163	won	26.1	0	1	0
164	won	28.5	0	0	0
165	won	32.4	0	0	0
166	won	30.4	0	0	0
167	won	23.9	0	0	0
168	won	31.6	0	0	0
169	won	34.2	0	0	0
170	timeout	45.0	0	0	0
171	won	30.3	0	1	0
172	won	37.7	0	1	0
173	won	34.8	0	0	0
174	timeout	45.0	0	1	0
175	won	25.3	0	0	0
176	won	34.6	0	1	0
177	won	37.7	0	0	0
178	won	32.6	0	0	0
179	won	32.3	0	0	0
180	won	30.6	0	0	0
181	won	37.7	0	0	0
182	won	36.9	0	0	0
183	won	31.3	0	0	0
184	won	32.3	0	0	0
185	won	23.9	0	0	0
186	won	34.2	0	0	0
187	won	27.6	0	0	0
188	won	30.1	0	0	0
189	won	31.7	0	1	0
190	won	29.7	0	0	0
191	won	33.2	0	1	0
192	won	27.2	0	0	0
193	won	29.2	0	0	0
194	won	27.9	0	0	0
195	won	21.8	0	0	0
196	won	32.9	0	0	0
197	won	31.9	0	0	0
198	won	27.4	0	0	0
199	won	29.7	0	0	0
200	won	36.4	0	0	0
