seed	result	minutes	errors	batch	job	artifacts
19	win	41.1		663466b6dc045c36713909d3	a8c0cba381fb9757d3ae79993c93e5e8	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s19
20	win	28.5		cbc5623606ee5b06a6e3f4f2	bae4cf06de0b44574ff1ed366902adc3	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s20
21	win	42.8		9dc026524349372645d2bef0	ea5ef54d641f6bb71bdd91e95b9d8fad	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s21
22	win	38.2		653a1b7f8fed0afeff5dd79a	4742e7e9e32a97b69862ceda1c6a0d31	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s22
23	win	43.7		5e4dcc8650ff0482f5fbc58b	4e05a9ae5b2aa60f6bbe2305c6686652	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s23
24	win	31.6		485616c444b1b72df6e6252b	e9364766d6b314e94e432bca2eeeb27d	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s24
25	win	30.6		4bbd01c18548d36197bb6ec5	330a001bd88a5be51fe00c1413aa4877	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s25
26	win	28.8		edb3ce7067ebe8b306bea369	cd0bc9b63d90294e35ab89ed20dc0a62	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s26
27	win	39.3		7f70c372ac429eefbc96bb4a	e1a55c90b3c4e58ae2c4de8097d0cc77	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s27
28	win	33.7		bd540768a4bfcb85f4574063	6761cb6843a50e05c6b3ef77597c05f8	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s28
29	timeout	45.0		cdbfe469df30dda9796194d3	dc5289138338d7d309b143a46e65940f	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s29
30	win	34.8		548d7907ae55e4019f9186ab	4d15c1df126638ea78f4b5954683125a	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s30
31	timeout	45.0		61017590dc22c6704db6b36b	7c85231402bdeb391d43f68fe501eac9	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s31
32	win	33.1		43c69debf99db9e8250ae497	75e716676e09bb5d543d776b4b68f84a	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s32
33	timeout	45.0		804a57afcf74ae8e156fd49a	28d1a51197ddfb10d24c5ad0f044123b	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s33
34	win	40.9		e6bc448dec60b233e4d0bf0c	afca51df8dd63b647835318e2c795ae7	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s34
35	win	28.5		6f0b26067f23855340eaf39e	6f8a6525173838848e689019f3af3c98	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s35
36	win	35.8		fadcfa283921f28f43746b49	a0117e5e525e8a8feb96bbaf617d6edc	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s36
37	timeout	45.0		5682920f0314acb0166fc661	81b8fc54667475ac5b4081c1cba4047a	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s37
38	timeout	45.0		278141045d178e04aae4dc2d	238ba98af05982d3052c9318dcd6785a	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s38
39	win	38.8		cfb327432cde5b51536825fe	f653c1642353724e9739fc71fe76dcad	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s39
40	win	31.1		e19e879baaf675115e38b85d	07e596d5aaac350684aec0fdfe0adf8c	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s40
41	win	35.2		e57dba160f9406ed7ca5c90b	81502aeb1dd62ce1aea4c681aa6305df	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s41
42	win	33.6		756e4bc798006464378e6ac6	82abe296a80bd409384164fcc74fc31d	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s42
43	win	32.9		6f9fe6d174c138e0cba7677a	ee7ad564114b523b41e65b9d1edf7edf	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s43
44	win	27.8		0d9e76f68a9409e97c1022a0	23bae5d8c7a59f5d40130faef678f01e	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s44
45	timeout	45.0		ce36f63409853bf433a3f734	84a18f5664ff5dde08274ed0f8f913ac	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s45
46	timeout	45.0		84ce2448c7b94959d8e1fca0	40d234a4f882df1c41aeecd09a497ee2	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s46
47	timeout	45.0		50c1c7835e8aad412ad4b2bb	6550907f1c88e87c5babf06a6f26fc2a	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s47
48	win	31.5		91861527024750d5f1cc7972	55723d3a7f7aa999a4dd19f3a7971b52	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s48
49	win	40.8		f4de458d9bca4dbc2dbde636	3f90fcd7da53e350ae60d47b5845bd22	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s49
50	timeout	45.0		85a859a74b69f1c4c383812c	517081203966099d0dac2cf583d18622	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s50
