seed	verdict	end_min	js_errors	failed_ai	harness	capflip	capwaive	caphold	capdel	caplost	capscorch	capCC	capTotal	ccDestroyed
142	win	31.1	0	0	1	0	0	0	0	0	0	0	0	3
143	win	28.8	0	0	1	0	0	0	0	0	0	0	0	1
144	win	35.4	0	0	1	0	0	0	0	0	0	0	0	2
145	win	31.4	0	0	1	0	0	0	0	0	0	0	0	2
146	win	25.5	0	0	1	0	0	0	0	0	0	0	0	2
147	win	24.8	0	0	1	0	0	0	0	0	0	0	0	2
148	win	30.6	0	0	1	0	0	0	0	0	0	0	0	1
149	win	30.7	0	0	1	0	0	0	0	0	0	0	0	1
150	win	25.2	0	0	1	0	0	0	0	0	0	0	0	2
151	win	32.3	0	0	1	0	0	0	0	0	0	0	0	2
152	win	41.2	0	0	1	0	0	0	0	0	0	0	0	3
153	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
154	win	31.0	0	0	1	0	0	0	0	0	0	0	0	2
155	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
156	win	29.1	0	0	1	0	0	0	0	0	0	0	0	2
157	win	22.4	0	0	1	0	0	0	0	0	0	0	0	2
158	win	26.6	0	0	1	0	0	0	0	0	0	0	0	3
159	win	31.5	0	0	1	0	0	0	0	0	0	0	0	2
160	win	33.1	0	0	1	0	0	0	0	0	0	0	0	2
161	win	38.5	0	0	1	0	0	0	0	0	0	0	0	2
162	win	37.2	0	0	1	0	0	0	0	0	0	0	0	3
163	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
164	win	25.0	0	0	1	0	0	0	0	0	0	0	0	1
165	win	22.3	0	0	1	0	0	0	0	0	0	0	0	2
166	win	23.0	0	0	1	0	0	0	0	0	0	0	0	2
167	win	34.8	0	0	1	0	0	0	0	0	0	0	0	3
168	win	28.0	0	0	1	0	0	0	0	0	0	0	0	1
169	win	30.6	0	0	1	0	0	0	0	0	0	0	0	2
170	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	2
171	win	26.8	0	0	1	0	0	0	0	0	0	0	0	2
172	win	28.8	0	0	1	0	0	0	0	0	0	0	0	2
173	win	34.9	0	0	1	0	0	0	0	0	0	0	0	2
174	win	20.8	0	0	1	0	0	0	0	0	0	0	0	1
175	win	25.8	0	0	1	0	0	0	0	0	0	0	0	2
176	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
177	win	24.7	0	0	1	0	0	0	0	0	0	0	0	2
178	win	26.4	0	0	1	0	0	0	0	0	0	0	0	1
179	win	32.1	0	0	1	0	0	0	0	0	0	0	0	2
180	win	25.5	0	0	1	0	0	0	0	0	0	0	0	1
181	win	26.7	0	0	1	0	0	0	0	0	0	0	0	1
182	win	35.2	0	0	1	0	0	0	0	0	0	0	0	3
183	win	25.4	0	0	1	0	0	0	0	0	0	0	0	2
184	win	26.6	0	0	1	0	0	0	0	0	0	0	0	2
185	win	26.1	0	0	1	0	0	0	0	0	0	0	0	2
186	win	25.2	0	0	1	0	0	0	0	0	0	0	0	2
187	win	28.0	0	0	1	0	0	0	0	0	0	0	0	1
188	win	25.7	0	0	1	0	0	0	0	0	0	0	0	2
189	win	27.4	0	0	1	0	0	0	0	0	0	0	0	2
190	win	34.6	0	0	1	0	0	0	0	0	0	0	0	2
191	win	29.3	0	0	1	0	0	0	0	0	0	0	0	2
192	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
193	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
194	win	33.0	0	0	1	0	0	0	0	0	0	0	0	2
195	win	25.2	0	0	1	0	0	0	0	0	0	0	0	2
196	win	27.4	0	0	1	0	0	0	0	0	0	0	0	2
197	win	27.3	0	0	1	0	0	0	0	0	0	0	0	3
198	win	23.7	0	0	1	0	0	0	0	0	0	0	0	2
199	win	30.3	0	0	1	0	0	0	0	0	0	0	0	3
200	win	27.1	0	0	1	0	0	0	0	0	0	0	0	1
