seed	verdict	end_min	js_errors	failed_ai	harness	capflip	capwaive	caphold	capdel	caplost	capscorch	capCC	capTotal	ccDestroyed
71	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
72	win	28.2	0	0	1	0	0	0	0	0	0	0	0	1
73	win	25.3	0	0	1	0	0	0	0	0	0	0	0	0
74	win	30.2	0	0	1	1	0	1	0	0	0	1	0	1
75	win	24.6	0	0	1	0	0	0	0	0	0	0	0	2
76	win	35.4	0	0	1	1	0	1	0	0	0	1	0	1
77	win	31.5	0	0	1	0	0	0	0	0	0	0	0	2
78	win	23.1	0	0	1	0	0	0	0	0	0	0	0	2
79	win	30.4	0	0	1	0	0	0	0	0	0	0	0	2
80	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
81	win	26.1	0	0	1	0	0	0	0	0	0	0	0	2
82	win	28.0	0	0	1	0	0	0	0	0	0	0	0	1
83	win	25.3	0	0	1	0	0	0	0	0	0	0	0	2
84	win	23.3	0	0	1	0	0	0	0	0	0	0	0	1
85	win	29.7	0	0	1	0	0	0	0	0	0	0	0	2
86	win	30.3	0	0	1	0	0	0	0	0	0	0	0	3
87	win	28.5	0	0	1	2	0	2	0	0	0	2	0	1
88	win	33.7	0	0	1	0	0	0	0	0	0	0	0	2
89	win	36.4	0	0	1	0	0	0	0	0	0	0	0	2
90	win	30.0	0	0	1	1	0	1	0	0	0	1	0	1
91	win	29.0	0	0	1	0	0	0	0	0	0	0	0	2
92	win	24.1	0	0	1	0	0	0	0	0	0	0	0	2
93	win	29.6	0	0	1	0	0	0	0	0	0	0	0	1
94	win	24.5	0	0	1	0	0	0	0	0	0	0	0	1
95	win	34.2	0	0	1	0	1	0	0	0	0	0	0	2
96	win	30.6	0	0	1	0	0	0	0	0	0	0	0	2
97	win	26.2	0	0	1	0	0	0	0	0	0	0	0	2
98	win	23.1	0	0	1	0	0	0	0	0	0	0	0	2
99	win	31.7	0	0	1	0	0	0	0	0	0	0	0	2
100	win	23.9	0	0	1	0	0	0	0	0	0	0	0	1
101	win	26.9	0	0	1	0	0	0	0	0	0	0	0	2
102	win	39.2	0	0	1	1	0	1	0	0	0	1	0	2
103	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
104	win	26.0	0	0	1	1	0	1	0	0	0	1	0	1
105	win	38.3	0	0	1	0	0	0	0	0	0	0	0	2
106	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
107	win	26.0	0	0	1	0	0	0	0	0	0	0	0	2
108	win	31.6	0	0	1	0	0	0	0	0	0	0	0	2
109	win	33.7	0	0	1	1	0	1	0	0	0	1	0	2
110	win	44.6	0	0	1	1	0	1	0	0	0	1	0	1
111	win	36.7	0	0	1	0	0	0	0	0	0	0	0	2
112	win	24.5	0	0	1	0	0	0	0	0	0	0	0	2
113	loss	41.0	0	0	1	0	0	0	0	0	6	0	0	0
114	win	24.0	0	0	1	0	0	0	0	0	0	0	0	2
115	win	33.4	0	0	1	0	0	0	0	0	0	0	0	2
116	win	30.5	0	0	1	0	1	0	0	0	0	0	0	2
117	win	31.5	0	0	1	1	0	1	0	0	0	1	0	2
118	win	25.8	0	0	1	0	0	0	0	0	0	0	0	2
119	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
120	win	30.7	0	0	1	0	0	0	0	0	0	0	0	2
121	win	38.3	0	0	1	0	1	0	0	0	0	0	0	3
122	win	29.5	0	0	1	1	0	1	0	0	0	1	0	1
123	win	30.4	0	0	1	0	0	0	0	0	0	0	0	2
124	win	25.6	0	0	1	0	0	0	0	0	0	0	0	1
125	win	32.2	0	0	1	0	0	0	0	0	0	0	0	2
126	win	29.6	0	0	1	1	0	1	0	0	0	1	0	0
127	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
128	win	29.5	0	0	1	0	0	0	0	0	0	0	0	1
129	win	36.2	0	0	1	0	0	0	0	0	0	0	0	2
130	win	31.9	0	0	1	0	0	0	0	0	0	0	0	2
131	win	25.0	0	0	1	0	0	0	0	0	0	0	0	1
132	win	26.5	0	0	1	0	0	0	0	0	0	0	0	2
133	win	24.8	0	0	1	0	0	0	0	0	0	0	0	2
134	win	35.3	0	0	1	1	0	0	1	0	0	0	0	1
135	win	28.1	0	0	1	0	0	0	0	0	0	0	0	2
136	win	23.4	0	0	1	0	0	0	0	0	0	0	0	0
137	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
138	win	25.9	0	0	1	0	0	0	0	0	0	0	0	2
139	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
140	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
141	win	38.3	0	0	1	0	0	0	0	0	0	0	0	2
142	win	31.1	0	0	1	0	0	0	0	0	0	0	0	3
143	win	28.8	0	0	1	0	0	0	0	0	0	0	0	1
144	win	35.5	0	0	1	0	0	0	0	0	0	0	0	2
145	win	31.3	0	0	1	0	0	0	0	0	0	0	0	1
146	win	25.6	0	0	1	0	0	0	0	0	0	0	0	2
147	win	25.0	0	0	1	1	0	1	0	0	0	1	0	1
148	win	30.6	0	0	1	0	0	0	0	0	0	0	0	1
149	win	30.7	0	0	1	0	0	0	0	0	0	0	0	1
150	win	25.1	0	0	1	1	0	0	1	0	0	0	0	2
151	win	32.3	0	0	1	0	0	0	0	0	0	0	0	2
152	win	41.2	0	0	1	0	0	0	0	0	0	0	0	3
153	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
154	win	31.0	0	0	1	0	0	0	0	0	0	0	0	2
155	win	28.0	0	0	1	0	0	0	0	0	0	0	0	2
156	win	29.0	0	0	1	0	0	0	0	0	0	0	0	2
157	win	22.4	0	0	1	0	0	0	0	0	0	0	0	2
158	win	26.7	0	0	1	0	0	0	0	0	0	0	0	3
159	win	31.5	0	0	1	0	0	0	0	0	0	0	0	2
160	win	33.2	0	0	1	0	0	0	0	0	0	0	0	2
161	win	38.5	0	0	1	1	0	1	0	0	0	0	0	2
162	win	38.0	0	0	1	0	0	0	0	0	0	0	0	3
163	win	28.0	0	0	1	1	0	1	0	0	0	1	0	1
164	win	25.0	0	0	1	0	0	0	0	0	0	0	0	1
165	win	22.4	0	0	1	0	0	0	0	0	0	0	0	2
166	win	23.0	0	0	1	0	0	0	0	0	0	0	0	2
167	win	34.8	0	0	1	0	0	0	0	0	0	0	0	3
168	win	28.0	0	0	1	0	0	0	0	0	0	0	0	1
169	win	30.6	0	0	1	0	0	0	0	0	0	0	0	2
170	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	2
171	win	26.6	0	0	1	1	0	1	0	0	0	1	0	1
172	win	29.0	0	0	1	1	0	1	0	0	0	1	0	1
173	win	33.0	0	0	1	0	0	0	0	0	0	0	0	2
174	win	20.8	0	0	1	0	0	0	0	0	0	0	0	1
175	win	25.8	0	0	1	0	0	0	0	0	0	0	0	2
176	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
177	win	24.8	0	0	1	0	0	0	0	0	0	0	0	2
178	win	26.4	0	0	1	0	0	0	0	0	0	0	0	1
179	win	33.0	0	0	1	0	0	0	0	0	0	0	0	2
180	win	25.5	0	0	1	0	0	0	0	0	0	0	0	1
181	win	26.7	0	0	1	0	0	0	0	0	0	0	0	1
182	win	35.4	0	0	1	0	0	0	0	0	0	0	0	3
183	win	25.4	0	0	1	0	0	0	0	0	0	0	0	2
184	win	26.5	0	0	1	0	0	0	0	0	0	0	0	2
185	win	26.3	0	0	1	1	0	1	0	0	0	1	0	1
186	win	25.2	0	0	1	0	0	0	0	0	0	0	0	2
187	win	28.0	0	0	1	0	0	0	0	0	0	0	0	1
188	win	25.7	0	0	1	0	0	0	0	0	0	0	0	2
189	win	28.0	0	0	1	1	0	1	0	0	0	1	0	0
190	win	34.0	0	0	1	1	0	0	1	0	0	0	0	2
191	win	29.3	0	0	1	0	0	0	0	0	0	0	0	2
192	timeout	45.0	0	0	1	0	0	0	0	0	0	0	0	0
193	win	28.0	0	0	1	1	0	1	0	0	0	1	0	1
194	win	33.0	0	0	1	0	0	0	0	0	0	0	0	2
195	win	25.2	0	0	1	0	0	0	0	0	0	0	0	2
196	win	27.4	0	0	1	1	0	1	0	0	0	1	0	1
197	win	25.7	0	0	1	0	1	0	0	0	0	0	0	2
198	win	23.7	0	0	1	0	0	0	0	0	0	0	0	2
199	win	30.3	0	0	1	0	0	0	0	0	0	0	0	3
200	win	27.0	0	0	1	0	0	0	0	0	0	0	0	1
